gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,ipr,description
ACROYT_G010444,210.371498617557,-2.58070567204806,0.372523189490288,-6.92763764741506,4.27926106153332e-12,5.52024676937798e-8,Down,"SOUL heme-binding protein;Regulatory factor, effector binding domain superfamily",SOUL heme-binding protein
ACROYT_G000280,1213.66769504424,-7.36145514595486,1.09866172065875,-6.70038375555763,2.07872905456433e-11,8.93853493462663e-8,Down,NA,NA
ACROYT_G020243,596.319811446798,-2.64643904843209,0.394072080147087,-6.71562179042045,1.87265938910412e-11,8.93853493462663e-8,Down,Basic-leucine zipper domain;PAR basic leucine zipper protein;Basic-leucine zipper domain superfamily;-,Hepatic leukemia
ACROYT_G000273,1696.23072564146,-4.80295880987052,0.732422497932007,-6.55763418441085,5.466811304420829e-11,1.76304664567572e-7,Down,NA,NA
ACROYT_G035302,112.270390031527,-2.30687001321572,0.353891422692877,-6.51858130853237,7.09754614208329e-11,1.83116690465749e-7,Down,"DNA photolyase, N-terminal;Cryptochrome/DNA photolyase, FAD-binding domain-like superfamily;DNA Photolyase Class-2;Cryptochrome/photolyase, N-terminal domain superfamily",Deoxyribodipyrimidine photo-lyase activity. It is involved in the biological process described with DNA repair
ACROYT_G023743,93.4909658381971,4.97297021903162,0.815047768269083,6.10144633558437,1.05112932147447e-9,2.2599280411701e-6,Up,NA,NA
ACROYT_G023742,133.678035753143,5.00499404892717,0.867035966310371,5.77253337047329,7.808847291223491e-9,1.43905900081119e-5,Up,NA,NA
ACROYT_G000290,284.925141041514,-4.28027054351008,0.745591465591624,-5.74077191201982,9.424595942003181e-9,1.51971609564801e-5,Down,NA,NA
ACROYT_G008089,236.283072223147,-2.01265030221015,0.3540735894051,-5.68427118665281,1.31371677785551e-8,1.88299404825956e-5,Down,"Ferrochelatase;-;Ferrochelatase, N-terminal;Ferrochelatase, C-terminal",Catalyzes the ferrous insertion into protoporphyrin IX
ACROYT_G003348,222.162632085064,-2.64670673747683,0.480231111277841,-5.51131876990277,3.56155023344796e-8,4.59439980114787e-5,Down,"MFS transporter superfamily;Major facilitator, sugar transporter-like",organic anion transmembrane transporter activity
ACROYT_G021877,36.4086148628484,-3.44476646421803,0.633971939756422,-5.43362607742787,5.52202349217157e-8,6.47582754991029e-5,Down,Cytochrome P450;Cytochrome P450 superfamily;-,monooxygenase activity
ACROYT_G010800,101.533234042801,7.18838623541761,1.33180632858144,5.39747114963347,6.75867374041941e-8,7.26557427095087e-5,Up,NA,NA
ACROYT_G006589,1175.04736503458,-1.38465466825939,0.267689155597782,-5.17262145030603,2.30832365024756e-7,2.2905673144764e-4,Down,TspO/MBR-related protein,TspO/MBR family
ACROYT_G040547,263.368574252318,-1.50806820327723,0.295739058809438,-5.09932035811668,3.40875206013463e-7,2.9315267717157e-4,Down,NA,NA
ACROYT_G031846,478.039874993223,-1.21192577486517,0.241704611383569,-5.01407800177185,5.32883673333743e-7,4.2963746162533e-4,Down,"Ubiquinol-cytochrome c chaperone;Ubiquinol-cytochrome c chaperone, CBP3",respiratory chain complex III assembly
ACROYT_G002805,98.1739740326873,-2.24587251647775,0.454054518505599,-4.94626179223906,7.56522024016948e-7,5.7406671234227e-4,Down,"Cryptochrome/DNA photolyase class 1;DNA photolyase, N-terminal;Cryptochrome/DNA photolyase, FAD-binding domain-like superfamily;Cryptochrome/DNA photolyase, FAD-binding domain;Cryptochrome/photolyase, N-terminal domain superfamily",FAD binding domain of DNA photolyase
ACROYT_G006534,66.8362144676455,-2.55266003740847,0.519902754353527,-4.90987981124003,9.11322303010708e-7,6.5311431715767e-4,Down,"Amino acid transporter, transmembrane domain",Vesicular inhibitory amino acid
ACROYT_G031307,30.4196941733419,6.58221380234663,1.36268448291844,4.83032857925381,1.36307922597975e-6,8.7918610075693e-4,Up,"Lipoxygenase;Lipoxygenase, C-terminal;Lipoxigenase, C-terminal domain superfamily",PFAM Lipoxygenase
ACROYT_G038751,48.1794795027604,-1.53663659235414,0.324619769608477,-4.73365067755262,2.20517120596316e-6,0.00129303220713294,Down,"EXS, C-terminal;-",inositol hexakisphosphate binding
ACROYT_G010797,24.8799081848135,6.57913064039044,1.4023070091786,4.69164783269831,2.71013337104628e-6,0.00152003132549987,Up,NA,NA
ACROYT_G032710,633.0994901646,-1.25390262730839,0.268833784782517,-4.66423008671615,3.09774629058349e-6,0.00166503863118862,Down,"Pyridoxal phosphate-dependent transferase;8-amino-7-oxononanoate synthase class-II;Aminotransferase, class I/classII, large domain;5-aminolevulinate synthase presequence",N-succinyltransferase activity
ACROYT_G011912,96.7854611193343,-1.72571527044907,0.371152280930037,-4.6496151556034,3.32554966005858e-6,0.00171598362459023,Down,NAD(P)-binding domain superfamily;NAD-dependent epimerase/dehydratase;Domain of unknown function DUF1731,coenzyme binding
