gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,ipr,description
ACROYT_G018858,109.710967582218,-1.50032772578596,0.238043979220637,-6.30273334657772,2.92441775967089e-10,3.34699612594333e-6,Down,NA,NA
ACROYT_G005498,1292.04893048013,-1.97044758687165,0.324808501472028,-6.0664901871152,1.30735710205034e-9,5.11426559580144e-6,Down,Haloacid dehalogenase-like hydrolase;HAD-like superfamily;-;HAD-like Sugar Phosphate Phosphatase,pseudouridine 5'-phosphatase activity
ACROYT_G036475,170.574897038132,-4.49518507675136,0.741478955644706,-6.06245806779892,1.3405676528968402e-9,5.11426559580144e-6,Down,NA,NA
ACROYT_G030730,5179.18879908037,-1.78298885998061,0.303644515868508,-5.87196134559111,4.306691758239641e-9,1.23225217932632e-5,Down,"N-acetyltransferase, camello-type;GNAT domain;Acyl-CoA N-acyltransferase",aspartate N-acetyltransferase activity
ACROYT_G006635,437.937243550527,-5.80299457475381,1.03732622703407,-5.59418476417564,2.21660807635139e-8,5.07381588676834e-5,Down,NA,Cysteine-rich and transmembrane domain-containing protein 1
ACROYT_G039803,165.960990444708,1.86602964152551,0.336856942381573,5.53953149468349,3.03281902313792e-8,5.78510228663558e-5,Up,"Carbamoyl phosphate synthase, ATP-binding domain;Pre-ATP-grasp domain superfamily;Pyruvate carboxyltransferase;Carboxylase, conserved domain;Biotin carboxylase-like, N-terminal domain;Pyruvate carboxylase-like;Biotin/lipoyl attachment;Rudiment single hybrid motif;Single hybrid motif;Biotin carboxylase, C-terminal",pyruvate carboxylase activity
ACROYT_G019788,1735.07186547146,-7.930013794043,1.4741714439342,-5.37930226953778,7.47750708169057e-8,9.50889650554985e-5,Down,NA,NA
ACROYT_G036945,72.6888308698266,-3.68168524609553,0.68164947549802,-5.4011414641017,6.62181788247851e-8,9.50889650554985e-5,Down,"Thrombospondin type-1 repeat superfamily;Galactose-binding-like domain superfamily;Coagulation factor 5/8, C-terminal domain;Thrombospondin type-1 (TSP1) repeat;-","Coagulation factor 5/8 C-terminal domain, discoidin domain"
ACROYT_G037317,178.890768659243,-2.20860300628469,0.409821817320906,-5.3891786941037,7.07804017460779e-8,9.50889650554985e-5,Down,NA,NA
ACROYT_G021579,75.6014221206367,-3.29039504002784,0.634173096933301,-5.18848096196346,2.12016432225882e-7,2.4265280668252e-4,Down,Olfactomedin-like domain-containing protein;Olfactomedin-like domain,Olfactomedin-like 1
ACROYT_G003607,237.638430711438,-3.48602193967485,0.691546989683059,-5.04090393231633,4.63338032864242e-7,4.346111655198e-4,Down,Leukocyte cell-derived chemotaxin 2,Leukocyte cell-derived
