gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,ipr,description
ACROYT_G030730,5179.18879908037,-2.29829713687702,0.289543944020772,-7.93764533618475,2.0605553294981604e-15,3.18067320661336e-11,Down,"N-acetyltransferase, camello-type;GNAT domain;Acyl-CoA N-acyltransferase",aspartate N-acetyltransferase activity
ACROYT_G010073,239.283573140421,-1.43175936155851,0.222408536187823,-6.43751982769852,1.21441463654838e-10,9.37285216488039e-7,Down,NA,NA
ACROYT_G020243,596.319811446798,2.3833132847596,0.375193577132492,6.35222303903668,2.12225304901077e-10,1.09196993548434e-6,Up,Basic-leucine zipper domain;PAR basic leucine zipper protein;Basic-leucine zipper domain superfamily;-,Hepatic leukemia
ACROYT_G012516,89.4577606077211,2.25977050907657,0.362179761657845,6.23936163283303,4.39360194745157e-10,1.69549099152156e-6,Up,"Ubiquitin-conjugating enzyme;Ubiquitin-conjugating (UBC), catalytic core domain;Ubiquitin-conjugating enzyme/RWD-like",Belongs to the ubiquitin-conjugating enzyme family
ACROYT_G005498,1292.04893048013,-1.90612183146831,0.309454033609717,-6.15962832745721,7.2915873173369e-10,2.25105883660825e-6,Down,Haloacid dehalogenase-like hydrolase;HAD-like superfamily;-;HAD-like Sugar Phosphate Phosphatase,pseudouridine 5'-phosphatase activity
ACROYT_G039473,1637.14850906962,1.74059579355449,0.291779495528408,5.96544932124958,2.4396176165031304e-9,6.2763229213904e-6,Up,Lipocalin/cytosolic fatty-acid binding domain;-;Lipocalin Blc-like domain;Calycin,negative regulation of lipoprotein oxidation
ACROYT_G000273,1696.23072564146,4.02362741758788,0.697529799828356,5.76839501133571,8.00300454324091e-9,1.47145991010884e-5,Up,NA,NA
ACROYT_G000290,284.925141041514,4.08475490335087,0.709570141466109,5.75666120182422,8.579385327144081e-9,1.47145991010884e-5,Up,NA,NA
ACROYT_G043015,104.68822434216,-3.99101468038593,0.688430914266713,-5.79726243792666,6.74061656605573e-9,1.47145991010884e-5,Down,D-galactoside/L-rhamnose binding SUEL lectin domain,carbohydrate binding
ACROYT_G006033,417.237698857428,-1.33400790708776,0.233035785008439,-5.72447663795263,1.03753083234883e-8,1.60153259281366e-5,Down,"Immunoglobulin-like domain superfamily;Receptor Tyrosine Kinase;Protein kinase-like domain superfamily;Serine-threonine/tyrosine-protein kinase, catalytic domain",fibroblast growth factor-activated receptor activity
ACROYT_G008979,83.1395042372271,1.65748068687118,0.292801920675846,5.6607575628103,1.50706210131451e-8,1.78946235353006e-5,Up,Armadillo repeat-containing protein 1,Armadillo repeat containing 1
ACROYT_G010444,210.371498617557,1.9948848002954,0.352359504807055,5.66150415436575,1.50051873480301e-8,1.78946235353006e-5,Up,"SOUL heme-binding protein;Regulatory factor, effector binding domain superfamily",SOUL heme-binding protein
ACROYT_G019433,556.108911133753,-1.11550038322789,0.197047771164141,-5.66106572349235,1.50435793067833e-8,1.78946235353006e-5,Down,"AF4/FMR2 family;AF4/FMR2, C-terminal homology domain;-",embryonic hindlimb morphogenesis
ACROYT_G003176,7678.33680560318,1.66325895580575,0.298372806056463,5.57443212666974,2.48338602554684e-8,2.43556405335874e-5,Up,"Regulatory factor, effector binding domain superfamily;SOUL heme-binding protein",SOUL heme-binding protein
ACROYT_G019600,85.5760097111907,-4.45826146162234,0.800180618337524,-5.57156891763379,2.52455460311867e-8,2.43556405335874e-5,Down,"Protease inhibitor I35 (TIMP);Tissue inhibitor of metalloproteinases-like, OB-fold","TIMP metallopeptidase inhibitor 4, tandem duplicate"
ACROYT_G002619,198.643963064387,1.07119244838187,0.192898892787097,5.55312906624171,2.80600733948204e-8,2.5478546642497e-5,Up,"GrpE nucleotide exchange factor, head;GrpE nucleotide exchange factor, coiled-coil;GrpE nucleotide exchange factor","Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner"
ACROYT_G006409,4828.73295431472,-1.10413657800649,0.200041710064843,-5.51953178988817,3.39904100908043e-8,2.58632893114694e-5,Down,Basic-leucine zipper domain;Basic-leucine zipper domain superfamily,cAMP response element binding
ACROYT_G007809,85.9345072964954,-1.88028546457831,0.340716785904116,-5.51861705195663,3.41677851751894e-8,2.58632893114694e-5,Down,NA,NA
